Tempo de execucao, Entrada de dados, Algoritimo, Ordenacao
4.6991e-06, 1000, 1, crescent
3.55803e-05, 10000, 1, crescent
0.000358511, 100000, 1, crescent
0.0012215, 500000, 1, crescent
